咪咕频道①,#genre#
CCTV-1综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-3综艺,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV-4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV-5体育,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-6电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-7国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-8电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-9纪录,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10科教,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11戏曲,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-17农业农村,http://z.b.bkpcp.top/m.php?id=cctv17
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=jtyy
CHC动作电影,http://z.b.bkpcp.top/m.php?id=dzdy
CCTV发现之旅,http://z.b.bkpcp.top/m.php?id=fxzl
CCTV中学生,http://z.b.bkpcp.top/m.php?id=zxs
CGTN,http://z.b.bkpcp.top/m.php?id=cgtn
CGTN纪录,http://z.b.bkpcp.top/m.php?id=cgtnjl
CCTV西班牙语,http://z.b.bkpcp.top/m.php?id=cgtne
CCTV法语,http://z.b.bkpcp.top/m.php?id=cgtnf
CCTV阿拉伯语,http://z.b.bkpcp.top/m.php?id=cgtna
CCTV俄语,http://z.b.bkpcp.top/m.php?id=cgtnr
CETV 1 中国教育,http://z.b.bkpcp.top/m.php?id=cetv1
CETV 2 中国教育,http://z.b.bkpcp.top/m.php?id=cetv2
CETV 4 中国教育,http://z.b.bkpcp.top/m.php?id=cetv4
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
东方卫视,http://z.b.bkpcp.top/m.php?id=dfws
陕西卫视,http://z.b.bkpcp.top/m.php?id=sxws
江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws
河南卫视,http://z.b.bkpcp.top/m.php?id=hnws
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws
广东影视,http://z.b.bkpcp.top/m.php?id=gdys
上海新闻综合,http://z.b.bkpcp.top/m.php?id=shxw
上海东方影视,http://z.b.bkpcp.top/m.php?id=shys
SiTV 魅力足球,http://z.b.bkpcp.top/m.php?id=mlzq
SiTV 游戏风云,http://z.b.bkpcp.top/m.php?id=yxfy
SiTV 法治天地,http://z.b.bkpcp.top/m.php?id=fztd
SiTV 乐游,http://z.b.bkpcp.top/m.php?id=ly
欢笑剧场,http://z.b.bkpcp.top/m.php?id=hxjc

咪咕频道③,#genre#
CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-17,http://goo.bkpcp.top/mg/cctv17
广东卫视,http://goo.bkpcp.top/mg/gdws
浙江卫视,http://goo.bkpcp.top/mg/zjws
河南卫视,http://goo.bkpcp.top/mg/hnws
吉林卫视,http://goo.bkpcp.top/mg/jlws
陕西卫视,http://goo.bkpcp.top/mg/sxws
海峡卫视,http://goo.bkpcp.top/mg/hxws
东方卫视,http://goo.bkpcp.top/mg/dfws
内蒙古卫视,http://goo.bkpcp.top/mg/nmws
山东卫视,http://goo.bkpcp.top/mg/sdws
江西卫视,http://goo.bkpcp.top/mg/jxws
江苏卫视,http://goo.bkpcp.top/mg/jsws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
西藏卫视,http://goo.bkpcp.top/mg/xzws

